NAME,EASTING,NORTHING,RADIUS
P1,6.794,18.015,0.610
P2,7.608,4.425,0.610
P3,6.459,4.092,0.610
P4,2.716,3.815,0.610
P5,2.680,9.953,0.610
P6,8.462,10.026,0.610
P7,6.036,15.421,0.610
P8,13.658,15.443,0.610
P9,16.783,11.825,0.610
P10,10.728,5.030,0.610
B1_1,4.005,6.692,0.8
B1_2,4.076,6.389,0.8
B1_3,3.923,6.965,0.8
B1_4,3.915,6.118,0.15
B1_5,4.324,6.237,0.15
B1_6,3.653,7.120,0.15
B1_7,4.075,7.240,0.15
B2_1,7.792,7.475,0.305
B2_2,7.516,7.326,0.305
B2_3,8.058,7.628,0.305
B2_4,7.241,7.417,0.101
B2_5,7.439,7.054,0.101
B2_6,8.324,7.533,0.101
B2_7,8.131,7.896,0.101
B3_1,6.690,12.124,0.305
B3_2,6.510,12.340,0.305
B3_3,6.870,11.852,0.305
B3_4,6.839,11.564,0.202
B3_5,7.158,11.820,0.202
B3_6,6.548,12.633,0.101
B3_7,6.214,12.398,0.101
B4_1,3.267,13.641,0.305
B4_2,2.958,13.678,0.305
B4_3,3.573,13.592,0.305
B4_4,3.743,13.363,0.101
B4_5,3.808,13.762,0.101
B4_6,2.795,13.904,0.101
B4_7,2.740,13.498,0.101
B5_1,4.709,15.681,0.305
B5_2,4.417,15.744,0.305
B5_3,5.015,15.619,0.305
B5_4,5.176,15.389,0.101
B5_5,5.247,15.783,0.101
B5_6,4.255,15.992,0.101
B5_7,4.178,15.585,0.101
B6_1,4.404,18.410,0.305
B6_2,4.698,18.343,0.305
B6_3,4.115,18.466,0.305
B6_4,4.862,18.109,0.101
B6_5,4.938,18.511,0.101
B6_6,3.951,18.705,0.101
B6_7,3.873,18.298,0.101
B7_1,8.751,14.842,0.305
B7_2,9.037,14.925,0.305
B7_3,8.448,14.783,0.305
B7_4,8.222,14.925,0.101
B7_5,8.311,14.540,0.101
B7_6,9.298,14.769,0.101
B7_7,9.193,15.168,0.101
B8_1,10.311,8.068,0.305
B8_2,10.102,8.294,0.305
B8_3,10.525,7.848,0.305
B8_4,10.521,7.572,0.101
B8_5,10.816,7.845,0.101
B8_6,10.116,8.580,0.101
B8_7,9.832,8.306,0.101
B9_1,11.329,9.670,0.305
B9_2,11.264,9.375,0.305
B9_3,11.399,9.951,0.305
B9_4,11.643,10.114,0.101
B9_5,11.260,10.203,0.101
B9_6,11.412,9.130,0.101
B9_7,11.035,9.211,0.101
B10_1,11.894,12.073,0.305
B10_2,11.845,11.775,0.305
B10_3,11.955,12.361,0.305
B10_4,11.619,11.608,0.101
B10_5,12.001,11.539,0.101
B10_6,12.183,12.535,0.101
B10_7,11.803,12.598,0.101
B11_1,13.983,11.417,0.305
B11_2,13.908,11.118,0.305
B11_3,14.051,11.711,0.305
B11_4,13.668,10.968,0.101
B11_5,14.037,10.879,0.101
B11_6,13.900,11.959,0.101
B11_7,14.271,11.863,0.101
B12_1,13.279,9.097,0.305
B12_2,13.212,8.785,0.305
B12_3,13.376,9.376,0.305
B12_4,13.356,8.547,0.101
B12_5,12.955,8.654,0.101
B12_6,13.627,9.519,0.101
B12_7,13.232,9.625,0.101
